,datetime,depto,op1,op2,op3,prop1,prop2,prop3,prop4,total
0,2013/02,VALLE DEL CAUCA,TELMEX COLOMBIA S.A.,UNE EPM TELECOMUNICACIONES S.A.,DIRECTV COLOMBIA LTDA,0.4444814424397873,0.28430380132203353,0.13307290972954253,0.1381418465086366,525554
0,2013/02,AMAZONAS,TELMEX COLOMBIA S.A.,DIRECTV COLOMBIA LTDA,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,0.5920801526717557,0.3363549618320611,0.0715648854961832,0.0,4192
0,2013/02,BOGOTÁ D.C.,TELMEX COLOMBIA S.A.,DIRECTV COLOMBIA LTDA,UNE EPM TELECOMUNICACIONES S.A.,0.7032817610525155,0.18304060669280617,0.05025588256634525,0.06342174968833303,1061229
0,2013/02,BOYACÁ,TELMEX COLOMBIA S.A.,DIRECTV COLOMBIA LTDA,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,0.6215296396406255,0.21176174478283233,0.09255753384182708,0.07415108173471519,91381
0,2013/02,CASANARE,TELMEX COLOMBIA S.A.,DIRECTV COLOMBIA LTDA,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,0.48533612262139436,0.3584905660377358,0.11393168926258197,0.042241622078287855,24857
0,2013/02,CESAR,TELMEX COLOMBIA S.A.,DIRECTV COLOMBIA LTDA,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,0.4364550489987218,0.2617469109501491,0.17141883255219428,0.13037920749893483,58675
0,2013/02,GUAINÍA,DIRECTV COLOMBIA LTDA,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,No hay,0.93,0.07,0.0,0.0,600
0,2013/02,GUAVIARE,DIRECTV COLOMBIA LTDA,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,No hay,0.7970204841713222,0.20297951582867785,0.0,0.0,1611
0,2013/02,MAGDALENA,TELMEX COLOMBIA S.A.,DIRECTV COLOMBIA LTDA,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,0.43164795689268076,0.25077682981589583,0.1951324651998204,0.12244274809160294,55675
0,2013/02,META,TELMEX COLOMBIA S.A.,DIRECTV COLOMBIA LTDA,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,0.6506373803430955,0.2188892048147095,0.10669604776798408,0.023777367074210964,84408
0,2013/02,NARIÑO,TELMEX COLOMBIA S.A.,GLOBAL T.V. TELECOMUNICACIONES S.A. (Antes CABLEVISTA S.A.),DIRECTV COLOMBIA LTDA,0.5249428118951258,0.2325576280133732,0.1431462255850783,0.0993533345064227,45464
0,2013/02,PUTUMAYO,TELMEX COLOMBIA S.A.,DIRECTV COLOMBIA LTDA,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,0.6558031959629941,0.18671152228763668,0.1574852817493692,0.0,9512
0,2013/02,QUINDÍO,UNE EPM TELECOMUNICACIONES S.A.,TELMEX COLOMBIA S.A.,GLOBAL T.V. TELECOMUNICACIONES S.A. (Antes CABLEVISTA S.A.),0.41260130644216064,0.3283686625405583,0.12872886322379612,0.13030116779348488,69961
0,2013/02,SUCRE,TELMEX COLOMBIA S.A.,DIRECTV COLOMBIA LTDA,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,0.6369100425833925,0.15733676366217175,0.09811923349893542,0.10763396025550032,45088
0,2013/02,VAUPÉS,DIRECTV COLOMBIA LTDA,No hay,No hay,1.0,0.0,0.0,0.0,611
0,2013/02,VICHADA,DIRECTV COLOMBIA LTDA,TELMEX COLOMBIA S.A.,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,0.7162615255658005,0.24476110645431684,0.038977367979882646,1.1102230246251565e-16,2386
0,2013/03,ANTIOQUIA,UNE EPM TELECOMUNICACIONES S.A.,TELMEX COLOMBIA S.A.,DIRECTV COLOMBIA LTDA,0.6399423657665256,0.20197793515300458,0.10615314516168123,0.05192655391878853,825204
0,2013/03,ARAUCA,DIRECTV COLOMBIA LTDA,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,T V SATELITE ARAUCA LTDA,0.339494072622048,0.22010641276953236,0.16260617940819566,0.277793335200224,10713
0,2013/03,"ARCHIPIÉLAGO DE SAN ANDRÉS, PROVIDENCIA Y SANTA CATALINA",TV ISLA LTDA,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,DIRECTV COLOMBIA LTDA,0.5456573468173707,0.31157049375371804,0.07391433670434265,0.06885782272456864,6724
0,2013/03,ATLÁNTICO,TELMEX COLOMBIA S.A.,DIRECTV COLOMBIA LTDA,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,0.3390962140001257,0.2816511233266132,0.23803791317968875,0.14121474949357227,206841
0,2013/03,BOLÍVAR,UNE EPM TELECOMUNICACIONES S.A.,DIRECTV COLOMBIA LTDA,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,0.4824843433342984,0.1867219284745608,0.13504350343608576,0.1957502247550551,131254
0,2013/03,CALDAS,UNE EPM TELECOMUNICACIONES S.A.,TELMEX COLOMBIA S.A.,GLOBAL T.V. TELECOMUNICACIONES S.A. (Antes CABLEVISTA S.A.),0.5089839026602176,0.17370767835550183,0.13338875453446192,0.18391966444981867,105856
0,2013/03,CAQUETA,TELMEX COLOMBIA S.A.,DIRECTV COLOMBIA LTDA,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,0.6408991506891115,0.18761124955500177,0.08233738493617454,0.08915221481971214,19663
0,2013/03,CAUCA,TELMEX COLOMBIA S.A.,DIRECTV COLOMBIA LTDA,CABLE CAUCA S.A,0.4029116628071876,0.19843107688441308,0.17627946218608073,0.22237779812231862,55707
0,2013/03,CHOCÓ,DIRECTV COLOMBIA LTDA,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,GLOBAL T.V. TELECOMUNICACIONES S.A. (Antes CABLEVISTA S.A.),0.6674364896073903,0.2535678332445076,0.07899567714810209,0.0,16887
