datetime,id_departamento,departamento,id_municipio,municipio,accesos
2017/02,25,CUNDINAMARCA,25183,CHOCONTÁ,1075
2017/02,5,ANTIOQUIA,5051,ARBOLETES,1074
2017/02,25,CUNDINAMARCA,25815,TOCAIMA,1072
2017/02,5,ANTIOQUIA,5761,SOPETRÁN,1057
2017/02,5,ANTIOQUIA,5284,FRONTINO,1048
2017/02,68,SANTANDER,68190,CIMITARRA,1045
2017/02,17,CALDAS,17777,SUPÍA,1040
2017/02,8,ATLÁNTICO,8634,SABANAGRANDE,1038
2017/02,66,RISARALDA,66088,BELÉN DE UMBRÍA,1024
2017/02,85,CASANARE,85410,TAURAMENA,1024
2017/02,76,VALLE DEL CAUCA,76041,ANSERMANUEVO,1023
2017/02,76,VALLE DEL CAUCA,76403,LA VICTORIA,1021
2017/02,13,BOLÍVAR,13654,SAN JACINTO,1011
2017/02,25,CUNDINAMARCA,25260,EL ROSAL,1010
2017/02,50,META,50568,PUERTO GAITÁN,1007
2017/02,5,ANTIOQUIA,5895,ZARAGOZA,1004
2017/02,86,PUTUMAYO,86320,ORITO,994
2017/02,19,CAUCA,19532,PATÍA,993
2017/02,5,ANTIOQUIA,5264,ENTRERRIOS,992
2017/02,25,CUNDINAMARCA,25612,RICAURTE,991
2017/02,5,ANTIOQUIA,5321,GUATAPE,988
2017/02,5,ANTIOQUIA,5789,TÁMESIS,984
2017/02,25,CUNDINAMARCA,25572,PUERTO SALGAR,984
2017/02,5,ANTIOQUIA,5665,SAN PEDRO DE URABA,979
2017/02,17,CALDAS,17541,PENSILVANIA,979
2017/02,54,NORTE DE SANTANDER,54810,TIBÚ,971
2017/02,70,SUCRE,70708,SAN MARCOS,962
2017/02,5,ANTIOQUIA,5890,YOLOMBÓ,961
2017/02,70,SUCRE,70221,COVEÑAS,961
2017/02,5,ANTIOQUIA,5361,ITUANGO,951
2017/02,19,CAUCA,19455,MIRANDA,948
2017/02,5,ANTIOQUIA,5002,ABEJORRAL,940
2017/02,44,LA GUAJIRA,44035,ALBANIA,940
2017/02,20,CESAR,20621,LA PAZ,936
